# Start Aug 13 2023 23:18:51 UTC 6mi S of Arnett, OK
# Rabbit1,1
# https://sswa.tv/wxlogs
[f,da,db,dc,ga,go,t,h,p],
[914.6,23,21,39,3602.5576,9945.3701,23.09,84.99,93102.10],
[914.6,23,21,41,3602.5576,9945.3701,23.05,85.10,93111.74],
[914.6,23,21,43,3602.5576,9945.3701,23.02,85.29,93132.96],
[914.6,23,21,45,3602.5576,9945.3701,22.98,85.19,93083.86],
[914.6,23,21,47,3602.5576,9945.3701,22.95,85.37,93095.88],
[914.6,23,21,49,3602.5576,9945.3701,22.91,85.48,93087.41],
[914.6,23,21,51,3602.5576,9945.3701,22.88,85.35,93141.07],
[914.6,23,21,53,3602.5576,9945.3701,22.87,85.70,93125.42],
[914.6,23,21,55,3602.5576,9945.3701,22.84,85.84,93144.25],
[914.6,23,21,57,3602.5576,9945.3701,22.83,85.89,93142.94],
[914.6,23,21,59,3602.5576,9945.3701,22.83,86.09,93151.19],
[914.6,23,22,1,3602.5576,9945.3701,22.80,86.17,93146.11],
[914.6,23,22,3,3602.5576,9945.3701,22.77,86.22,93143.79],
[914.6,23,22,5,3602.5576,9945.3701,22.75,85.43,93094.35],
[914.6,23,22,7,3602.5576,9945.3701,22.75,85.78,93060.98],
[914.6,23,22,9,3602.5576,9945.3701,22.74,85.73,93140.87],
[914.6,23,22,11,3602.5576,9945.3701,22.71,85.92,93143.98],
[914.6,23,22,13,3602.5576,9945.3701,22.70,86.06,93136.51],
[914.6,23,22,15,3602.5576,9945.3701,22.68,86.23,93163.86],
[914.6,23,22,17,3602.5576,9945.3701,22.65,86.63,93154.36],
[914.6,23,22,19,3602.5576,9945.3691,22.64,86.62,93127.80],
[914.6,23,22,21,3602.5576,9945.3691,22.60,86.50,93146.96],
[914.6,23,22,23,3602.5576,9945.3691,22.60,86.34,93151.43],
[914.6,23,22,25,3602.5576,9945.3691,22.60,86.45,93171.60],
[914.6,23,22,27,3602.5576,9945.3691,22.57,86.66,93118.78],
[914.6,23,22,29,3602.5576,9945.3691,22.57,86.83,93162.82],
[914.6,23,22,31,3602.5576,9945.3691,22.56,87.01,93166.93],
[914.6,23,22,33,3602.5576,9945.3691,22.56,87.30,93182.32],
[914.6,23,22,35,3602.5576,9945.3691,22.54,87.18,93177.59],
[914.6,23,22,37,3602.5576,9945.3691,22.51,87.07,93155.81],
[914.6,23,22,39,3602.5576,9945.3691,22.50,86.65,93152.10],
[914.6,23,22,41,3602.5574,9945.3691,22.48,86.11,93166.11],
[914.6,23,22,43,3602.5574,9945.3691,22.49,86.37,93172.96],
[914.6,23,22,45,3602.5574,9945.3691,22.46,86.08,93183.22],
[914.6,23,22,47,3602.5574,9945.3691,22.43,85.73,93174.73],
[914.6,23,22,49,3602.5571,9945.3691,22.42,85.30,93150.57],
[914.6,23,22,51,3602.5571,9945.3691,22.40,84.79,93169.70],
[914.6,23,22,53,3602.5571,9945.3691,22.38,84.03,93179.95],
[914.6,23,22,55,3602.5571,9945.3691,22.36,83.53,93111.47],
[914.6,23,22,57,3602.5571,9945.3691,22.34,83.37,93061.43],
[914.6,23,22,59,3602.5571,9945.3691,22.31,83.23,93162.32],
[914.6,23,23,1,3602.5571,9945.3691,22.30,83.35,93176.32],
[914.6,23,23,3,3602.5571,9945.3691,22.28,83.28,93148.40],
[914.6,23,23,5,3602.5571,9945.3691,22.25,83.22,93150.47],
[914.6,23,23,7,3602.5571,9945.3691,22.22,83.47,93169.59],
[914.6,23,23,9,3602.5571,9945.3691,22.24,83.89,93175.06],
[914.6,23,23,11,3602.5571,9945.3691,22.22,83.91,93179.52],
[914.6,23,23,13,3602.5571,9945.3691,22.21,83.76,93177.83],
